puuid,platform,match_routing
koWmjdl1bCbniCsddSZbIEGV0Cd8IIGQzx7ScPXJFgVPMYXFJhva3N10lkc3n6wV5XJeMJvuoSDXkQ,vn2,sea
b9nJCrdFdHQ0Otn5-dk4izJ2cEfKtbKC6iBm0oe8DaCXGvLXD3RmM6mQEb6FeBoZoNQkXCGOCZjiPQ,kr,asia
2m3zEEgKUt5rrToZsH9S-WnUjQ-jfyCiUaGY_iEhM7K5EveHrJ5Gpwat_52-T9XTVkaDtpegQuWw3A,kr,asia
4e58l-UtYWSt06XWt27H7zLXuLccxG076BdjkAP942ZqT2dx37VkJQy4dh5pO3f636eoOpbS9eCcuw,euw1,europe
yW2EvYEpDC2ubYJgENZK7Mtl4eg7galRLEpj5VwyEst7hF09xspSJLteZmZH0zhySQD2b7nQX-p25w,na1,americas
H8oZF4Iw0MmtUGJ5lgIKo01hjUYZ9RNlDTv1IBPQoDVjv3mKqPKOCgre0kGmwfT0W5kqmgVRL9kGgg,kr,asia
BTmFrY_TWPYRrUVXcliMcN9QLZW5iPV0my-0RiZBbpeNXy--LJJiV2MYsH1PkFAgvWCfNSKs0FK1Cg,kr,asia
2Lj08p3e4OPlg2G6WKsKicIfFiEdc3ZBiG3vSDkVHvXuhUIETj7NQtR3Z21YIhovipOkE0LpG8LGRQ,euw1,europe
2fUmlbVdp8K8UvDUfHxvRWJKTzLkJbxV-T0hFziULnCWu8F9xaa1m1y7NrD2zyDiHPmdVVNUPsXmaw,na1,americas
1CPOp2mLK7vWY2hHudX_3PUMYqkeNomPkhEH975Wllo01ugriqlj_HexQKJN3WdQE3r9uDFjB5s7jw,euw1,europe
TU-0UWSg2BAbVDYrOPJeXNVPr7_QMKYpjw6Dj_Lq5cZG3hf9pzKpPNVqLk8jvPwgonGj968kx6yDhg,na1,americas
52YZlWqzdQDqZDnsOOhTmmr7LUAZ9N4icfEMYmDLpPIICFqOy6CvHumMaTyYm6cJuERQ0Bu8znSvlw,euw1,europe
pbCHmQURP3l8QSWxUZmv9aGdXLatYMVP3-1MoQ3xr2Nxt8akqL08L53C0xyOmfaxBxeVaj6d3DzoPw,na1,americas
cwM67kWI5wJspeEbZKM76qsrZpFnkNlT6xv8WPVL5f1l5jTf5mAUnKKBFLreopfyxC-PHBPr1eD2GA,euw1,europe
6bEO4R2bITsG1jd_K7AInn_2cbhsKyY-_wjIr7BnKlZW9slRgCAzT20rScpwelaEWeKkbCiOy7mGfg,vn2,sea
8FzGuiirtvVPL266kL-4iyOF6_Q3i1Yay5B1c6iM73UWPcoeOO4vBfpil5hBX1c1TVREYQE9P5V6gw,kr,asia
H60MmCJRTTeGr4Qp5i4MH-7Yhufo1EgslUu-jfaJBoHnPSC4kJxNPI33XLrYSEVNKqSVruoOFGnSRg,na1,americas
yl2LczJCGXG_Ro1jj78FGk8QrrZf4A-xYKwEYUAZ5o-9pBXCfHS8wVAaKvWqS9j6ArhMMic6jQxG7A,euw1,europe
NgOOYavW1Yv6E9oZkGkTJfVu6-xdk1WIGca7CfWSzre0qlmKAm2uGEOd5YtmgvJfowaSMeLEewbqZw,vn2,sea
FlK-xKooAQy-s7gecEYWE2BKki9xgC1V-YYTsZkcvOS385Irdj-fk44KwcFPfX_QYXeC4qcxn9RZJA,na1,americas
7WsLk1UxJkbRut8Q14Uh8PM1_eLpiHjExx167ELh9ZQInJcV5FyqRKREa7XNwOm7yTGiAeY1AuLzXA,kr,asia
R-AG3HGOuC9Q7k7YMAI9YSyk2ImqTAU5ZS0Pz0zI-gEQLkxH_g52FxtG4XJBdaEYk6jdcyXS6ivOqg,euw1,europe
hizNKJavVWbRCB0ETSW4FFxPrXs6ixGkdCYaEl3p2X3CYCbDfUx_oBfy4Ki6eXvJ3wHHtyV85PBszA,kr,asia
b5Xy5I9sPJLCW16Y5Na0li0qeZ4Oy-NfekoxvqzL2E3Cg-fk7eAu5GVjSOlns3cLTmE5vy0u_Qv7bA,euw1,europe
